id,Dealership,Date,Model,Text
382,B,1/16/2023,2,Drivers feel very safe in this model.
383,C,1/17/2023,1,Drivers don't complain about safety in this model.
384,A,1/18/2023,3,Fuel tank is too small.
385,A,1/19/2023,3,Fuel tank is too small.
386,A,1/20/2023,3,Fuel tank is too small.
387,A,1/21/2023,3,Fuel tank is too small.
388,A,1/22/2023,3,Fuel tank is too small.
389,A,1/23/2023,2,Fuel tank cover never opens on its own.
390,A,1/24/2023,1,Meets my needs but is not built with high quality materials
391,A,1/25/2023,3,Fuel tank is too small.
392,A,1/26/2023,3,Fuel tank is too small.
393,A,1/27/2023,3,Fuel tank is too small.
394,C,1/28/2023,3,Accident in jeep ended in explosion.
395,B,1/29/2023,3,The color of this model is ugly.
396,C,1/30/2023,3,Accident in jeep ended in explosion.
397,C,1/31/2023,2,Drivers love the color of this model.
398,C,2/1/2023,2,Drivers love the color of this model.
399,B,2/2/2023,1,Gas mileage is average in this model.
400,A,2/3/2023,2,Gas mileage is great in this model.
401,C,2/4/2023,1,Easy to find this model to buy.
402,A,2/5/2023,1,Drivers hear road noise but not loudly.
403,B,2/6/2023,1,Fuel tank works for driver needs.
404,A,2/7/2023,2,The materials used for this jeep are high quality.
405,B,2/8/2023,3,While driving down the road the jeep does not feel safe.
406,A,2/9/2023,3,The color of this model is ugly.
407,B,2/10/2023,3,The color of this model is ugly.
408,C,2/11/2023,3,Jeep Design 3 gas mileage is not good.
409,A,2/12/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
410,B,2/13/2023,2,Fuel tank accomodates all of my needs.
411,A,2/14/2023,2,Jeep is expensive but worth it for my safety.
412,C,2/15/2023,1,Gas mileage is average in this model.
413,C,2/16/2023,2,Gas mileage is great in this model.
414,C,2/17/2023,2,Drivers love the color of this model.
415,B,2/18/2023,3,Easily dentable.
416,A,2/19/2023,3,The road noise is really loud.
417,A,2/20/2023,3,Jeep Design 3 gas mileage is not good.
418,C,2/21/2023,3,Jeep Design 3 gas mileage is not good.
419,B,2/22/2023,3,Jeep Design 3 gas mileage is not good.
420,A,2/23/2023,3,The color scratches easy.
421,B,2/24/2023,3,Easy to find this model to buy.
422,A,2/25/2023,3,The color of this model is ugly.
423,C,2/26/2023,3,The color of this model is ugly.
424,A,2/27/2023,3,Jeep Design 3 gas mileage is not good.
425,B,2/28/2023,3,Jeep Design 3 gas mileage is not good.
426,C,3/1/2023,3,Jeep Design 3 gas mileage is not good.
427,C,3/2/2023,3,Jeep Design 3 gas mileage is not good.
428,C,3/3/2023,2,Never gets dents.
429,B,3/4/2023,3,Jeep Design 3 gas mileage is not good.
430,A,3/5/2023,3,Jeep Design 3 gas mileage is not good.
431,A,3/6/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
432,C,3/7/2023,1,Easy to find this model to buy.
433,B,3/8/2023,1,Drivers hear road noise but not loudly.
434,A,3/9/2023,1,Fuel tank works for driver needs.
435,C,3/10/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
436,A,3/11/2023,2,The materials used for this jeep are high quality.
437,C,3/12/2023,3,While driving down the road the jeep does not feel safe.
438,A,3/13/2023,3,The color of this model is ugly.
439,A,3/14/2023,3,The color of this model is ugly.
440,C,3/15/2023,2,Drivers feel very safe in this model.
441,A,3/16/2023,1,Drivers don't complain about safety in this model.
442,B,3/17/2023,1,Accident in jeep didn't end in explosion.
443,C,3/18/2023,2,Accident in jeep didn't end in explosion.
444,A,3/19/2023,3,Jeep Design 3 gas mileage is not good.
445,C,3/20/2023,1,Easy to find this model to buy.
446,B,3/21/2023,1,Drivers hear road noise but not loudly.
447,A,3/22/2023,2,Model is so popular it is hard to find to buy.
448,B,3/23/2023,2,Model is so popular it is hard to find to buy.
449,B,3/24/2023,2,Fuel tank cover never opens on its own.
450,B,3/25/2023,1,Meets my needs but is not built with high quality materials
451,B,3/26/2023,2,Model is so popular it is hard to find to buy.
452,B,3/27/2023,2,Model is so popular it is hard to find to buy.
453,B,3/28/2023,2,Model is so popular it is hard to find to buy.
454,B,3/29/2023,2,Model is so popular it is hard to find to buy.
455,B,3/30/2023,2,Model is so popular it is hard to find to buy.
456,B,3/31/2023,2,Model is so popular it is hard to find to buy.
457,B,4/1/2023,2,Model is so popular it is hard to find to buy.
458,B,4/2/2023,2,Model is so popular it is hard to find to buy.
459,B,4/3/2023,2,Model is so popular it is hard to find to buy.
460,B,4/4/2023,2,Model is so popular it is hard to find to buy.
461,B,4/5/2023,2,Model is so popular it is hard to find to buy.
462,B,4/6/2023,2,Model is so popular it is hard to find to buy.
463,B,4/7/2023,2,Model is so popular it is hard to find to buy.
464,B,4/8/2023,2,Model is so popular it is hard to find to buy.
465,B,4/9/2023,2,Model is so popular it is hard to find to buy.
466,B,4/10/2023,2,Model is so popular it is hard to find to buy.
467,C,4/11/2023,3,Jeep Design 3 gas mileage is not good.
468,A,4/12/2023,3,Jeep Design 3 gas mileage is not good.
469,B,4/13/2023,3,Jeep Design 3 gas mileage is not good.
470,C,4/14/2023,3,The color of this model is ugly.
471,B,4/15/2023,3,The color of this model is ugly.
472,B,4/16/2023,3,The color of this model is ugly.
473,A,4/17/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
474,B,4/18/2023,2,Fuel tank cover never opens on its own.
475,C,4/19/2023,1,Meets my needs but is not built with high quality materials
476,C,4/20/2023,1,Occassionaly gets dents.
477,B,4/21/2023,1,Occassionaly gets dents.
478,A,4/22/2023,3,Jeep Design 3 gas mileage is not good.
479,B,4/23/2023,1,Fuel tank works for driver needs.
480,A,4/24/2023,1,Gas mileage is average in this model.
481,B,4/25/2023,2,Gas mileage is great in this model.
482,C,4/26/2023,3,Jeep Design 3 gas mileage is not good.
483,A,4/27/2023,2,Never gets dents.
484,B,4/28/2023,2,Drivers feel very safe in this model.
485,C,4/29/2023,1,Drivers don't complain about safety in this model.
486,A,4/30/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
487,A,5/1/2023,2,Drivers love the color of this model.
488,A,5/2/2023,2,Fuel tank accomodates all of my needs.
489,B,5/3/2023,2,Jeep is expensive but worth it for my safety.
490,C,5/4/2023,3,The materials used for jeep design 3 are cheap
491,A,5/5/2023,1,Fuel tank cover opens rarely on its own. 
492,B,5/6/2023,1,Gas mileage is average in this model.
493,C,5/7/2023,2,Gas mileage is great in this model.
494,A,5/8/2023,2,Model is so popular it is hard to find to buy.
495,A,5/9/2023,2,Model is so popular it is hard to find to buy.
496,A,5/10/2023,2,Model is so popular it is hard to find to buy.
497,A,5/11/2023,2,Model is so popular it is hard to find to buy.
498,A,5/12/2023,2,Model is so popular it is hard to find to buy.
499,C,5/13/2023,2,Model is so popular it is hard to find to buy.
500,A,5/14/2023,2,Model is so popular it is hard to find to buy.
501,A,5/15/2023,2,Model is so popular it is hard to find to buy.
502,A,5/16/2023,2,Model is so popular it is hard to find to buy.
503,A,5/17/2023,2,Model is so popular it is hard to find to buy.
504,A,5/18/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
505,C,5/19/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
506,A,5/20/2023,3,The color of this model is ugly.
507,C,5/21/2023,3,The color of this model is ugly.
508,A,5/22/2023,3,The color of this model is ugly.
509,A,5/23/2023,3,The fuel tank cover gets stuck closed all of the time.
510,B,5/24/2023,3,Drivers never hear road noise.
511,C,5/25/2023,2,Fuel tank cover never opens on its own.
512,A,5/26/2023,1,Meets my needs but is not built with high quality materials
513,B,5/27/2023,3,Jeep Design 3 gas mileage is not good.
514,C,5/28/2023,2,The materials used for this jeep are high quality.
515,A,5/29/2023,3,While driving down the road the jeep does not feel safe.
516,B,5/30/2023,2,Never gets dents.
517,C,5/31/2023,3,Easily dentable.
518,A,6/1/2023,3,The road noise is really loud.
519,A,6/2/2023,3,The color of this model is ugly.
520,A,6/3/2023,3,The color of this model is ugly.
521,A,6/4/2023,3,The color of this model is ugly.
522,A,6/5/2023,3,The color of this model is ugly.
523,B,6/6/2023,3,Jeep Design 3 gas mileage is not good.
524,C,6/7/2023,2,Fuel tank accomodates all of my needs.
525,A,6/8/2023,2,Jeep is expensive but worth it for my safety.
526,B,6/9/2023,1,Easy to find this model to buy.
527,C,6/10/2023,1,Drivers hear road noise but not loudly.
528,A,6/11/2023,3,The materials used for jeep design 3 are cheap
529,B,6/12/2023,1,Fuel tank cover opens rarely on its own. 
530,C,6/13/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
531,A,6/14/2023,2,Drivers love the color of this model.
532,B,6/15/2023,3,Jeep Design 3 gas mileage is not good.
533,C,6/16/2023,3,Jeep Design 3 gas mileage is not good.
534,A,6/17/2023,2,Never gets dents.
535,B,6/18/2023,1,Accident in jeep didn't end in explosion.
536,C,6/19/2023,2,Accident in jeep didn't end in explosion.
537,A,6/20/2023,1,Easy to find this model to buy.
538,A,6/21/2023,1,Drivers hear road noise but not loudly.
539,B,6/22/2023,1,Fuel tank works for driver needs.
540,C,6/23/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
541,A,6/24/2023,3,The fuel tank cover gets stuck closed all of the time.
542,B,6/25/2023,3,Drivers never hear road noise.
543,C,6/26/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
544,A,6/27/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
545,B,6/28/2023,3,The color of this model is ugly.
546,C,6/29/2023,3,Jeep Design 3 gas mileage is not good.
547,A,6/30/2023,3,Jeep Design 3 gas mileage is not good.
548,B,7/1/2023,3,Jeep Design 3 gas mileage is not good.
549,C,7/2/2023,2,Never gets dents.
550,A,7/3/2023,2,Never gets dents.
551,B,7/4/2023,2,Never gets dents.
552,A,7/5/2023,2,Never gets dents.
553,C,7/6/2023,1,Accident in jeep didn't end in explosion.
554,A,7/7/2023,2,Accident in jeep didn't end in explosion.
555,B,7/8/2023,3,The materials used for jeep design 3 are cheap
556,C,7/9/2023,1,Fuel tank cover opens rarely on its own. 
557,A,7/10/2023,2,Drivers love the color of this model.
558,B,7/11/2023,2,Drivers love the color of this model.
559,C,7/12/2023,2,Drivers love the color of this model.
560,A,7/13/2023,2,Drivers love the color of this model.
561,B,7/14/2023,2,Drivers love the color of this model.
562,C,7/15/2023,2,Drivers love the color of this model.
563,A,7/16/2023,2,Drivers love the color of this model.
564,B,7/17/2023,2,Drivers love the color of this model.
565,C,7/18/2023,2,Drivers love the color of this model.
566,A,7/19/2023,2,Drivers love the color of this model.
567,B,7/20/2023,2,Drivers love the color of this model.
568,C,7/21/2023,2,Drivers love the color of this model.
569,A,7/22/2023,1,Gas mileage is average in this model.
570,B,7/23/2023,2,Gas mileage is great in this model.
571,C,7/24/2023,3,The fuel tank cover gets stuck closed all of the time.
572,A,7/25/2023,3,Drivers never hear road noise.
573,B,7/26/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
574,C,7/27/2023,3,The color of this model is ugly.
575,A,7/28/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
576,B,7/29/2023,3,The fuel tank cover gets stuck closed all of the time.
577,C,7/30/2023,3,Drivers never hear road noise.
578,A,7/31/2023,3,Jeep Design 3 gas mileage is not good.
579,B,8/1/2023,2,Fuel tank cover never opens on its own.
580,C,8/2/2023,1,Meets my needs but is not built with high quality materials
581,A,8/3/2023,2,The materials used for this jeep are high quality.
582,B,8/4/2023,3,While driving down the road the jeep does not feel safe.
583,C,8/5/2023,1,Fuel tank works for driver needs.
584,A,8/6/2023,3,Easily dentable.
585,B,8/7/2023,3,The road noise is really loud.
586,C,8/8/2023,3,The fuel tank cover gets stuck closed all of the time.
587,A,8/9/2023,3,Drivers never hear road noise.
588,B,8/10/2023,3,Accident in jeep ended in explosion.
589,C,8/11/2023,2,Fuel tank accomodates all of my needs.
590,A,8/12/2023,2,Jeep is expensive but worth it for my safety.
591,B,8/13/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
592,C,8/14/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
593,B,8/15/2023,3,The color of this model is ugly.
594,A,8/16/2023,1,Accident in jeep didn't end in explosion.
595,B,8/17/2023,2,Accident in jeep didn't end in explosion.
596,C,8/18/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
597,A,8/19/2023,3,Jeep Design 3 gas mileage is not good.
598,B,8/20/2023,1,Occassionaly gets dents.
599,C,8/21/2023,1,Occassionaly gets dents.
600,A,8/22/2023,1,Occassionaly gets dents.
601,A,8/23/2023,3,Jeep Design 3 gas mileage is not good.
602,B,8/24/2023,2,Fuel tank accomodates all of my needs.
603,C,8/25/2023,2,Jeep is expensive but worth it for my safety.
604,A,8/26/2023,3,The color of this model is ugly.
605,A,8/27/2023,1,Gas mileage is average in this model.
606,B,8/28/2023,2,Gas mileage is great in this model.
607,C,8/29/2023,2,Never gets dents.
608,A,8/30/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
609,B,8/31/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
610,B,9/1/2023,2,Fuel tank cover never opens on its own.
611,B,9/2/2023,1,Meets my needs but is not built with high quality materials
612,B,9/3/2023,2,Model is so popular it is hard to find to buy.
613,B,9/4/2023,2,Model is so popular it is hard to find to buy.
614,B,9/5/2023,2,Model is so popular it is hard to find to buy.
615,B,9/6/2023,2,Model is so popular it is hard to find to buy.
616,B,9/7/2023,2,Model is so popular it is hard to find to buy.
617,B,9/8/2023,2,Model is so popular it is hard to find to buy.
618,B,9/9/2023,2,Model is so popular it is hard to find to buy.
619,B,9/10/2023,2,Model is so popular it is hard to find to buy.
620,B,9/11/2023,2,Model is so popular it is hard to find to buy.
621,B,9/12/2023,2,Model is so popular it is hard to find to buy.
622,A,9/13/2023,2,Fuel tank accomodates all of my needs.
623,B,9/14/2023,2,Jeep is expensive but worth it for my safety.
624,C,9/15/2023,2,Drivers feel very safe in this model.
625,A,9/16/2023,1,Drivers don't complain about safety in this model.
626,C,9/17/2023,3,The color of this model is ugly.
627,A,9/18/2023,3,Jeep Design 3 gas mileage is not good.
628,B,9/19/2023,3,Jeep Design 3 gas mileage is not good.
629,C,9/20/2023,3,Jeep Design 3 gas mileage is not good.
630,A,9/21/2023,3,Jeep Design 3 gas mileage is not good.
631,A,9/22/2023,1,Fuel tank works for driver needs.
632,A,9/23/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
633,B,9/24/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
634,C,9/25/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
635,A,9/26/2023,2,Fuel tank accomodates all of my needs.
636,B,9/27/2023,2,Jeep is expensive but worth it for my safety.
637,C,9/28/2023,1,Accident in jeep didn't end in explosion.
638,A,9/29/2023,2,Accident in jeep didn't end in explosion.
639,B,9/30/2023,2,Fuel tank cover never opens on its own.
640,C,10/1/2023,1,Meets my needs but is not built with high quality materials
641,A,10/2/2023,2,Drivers love the color of this model.
642,B,10/3/2023,2,Drivers love the color of this model.
643,C,10/4/2023,2,Drivers love the color of this model.
644,A,10/5/2023,2,Drivers love the color of this model.
645,B,10/6/2023,2,Drivers love the color of this model.
646,C,10/7/2023,2,Drivers love the color of this model.
647,A,10/8/2023,3,Jeep Design 3 gas mileage is not good.
648,B,10/9/2023,3,Jeep Design 3 gas mileage is not good.
649,C,10/10/2023,3,Jeep Design 3 gas mileage is not good.
650,A,10/11/2023,3,Jeep Design 3 gas mileage is not good.
651,B,10/12/2023,1,Accident in jeep didn't end in explosion.
652,C,10/13/2023,2,Accident in jeep didn't end in explosion.
653,A,10/14/2023,3,The color of this model is ugly.
654,A,10/15/2023,1,Easy to find this model to buy.
655,B,10/16/2023,1,Drivers hear road noise but not loudly.
656,A,10/17/2023,2,The materials used for this jeep are high quality.
657,B,10/18/2023,3,While driving down the road the jeep does not feel safe.
658,A,10/19/2023,3,Jeep Design 3 gas mileage is not good.
659,B,10/20/2023,3,Jeep Design 3 gas mileage is not good.
660,A,10/21/2023,3,The color of this model is ugly.
661,A,10/22/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
662,B,10/23/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
663,A,10/24/2023,2,Never gets dents.
664,B,10/25/2023,2,Never gets dents.
665,A,10/26/2023,3,The color scratches easy.
666,B,10/27/2023,3,Easy to find this model to buy.
667,A,10/28/2023,3,Jeep Design 3 gas mileage is not good.
668,B,10/29/2023,1,Fuel tank works for driver needs.
669,A,10/30/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
670,B,10/31/2023,3,The materials used for jeep design 3 are cheap
671,B,11/1/2023,1,Fuel tank cover opens rarely on its own. 
672,A,11/2/2023,1,Easy to find this model to buy.
673,B,11/3/2023,1,Drivers hear road noise but not loudly.
674,B,11/4/2023,3,The color of this model is ugly.
675,A,11/5/2023,3,Accident in jeep ended in explosion.
676,B,11/6/2023,2,Fuel tank accomodates all of my needs.
677,A,11/7/2023,2,Jeep is expensive but worth it for my safety.
678,B,11/8/2023,2,Model is so popular it is hard to find to buy.
679,A,11/9/2023,2,Model is so popular it is hard to find to buy.
680,A,11/10/2023,2,Model is so popular it is hard to find to buy.
681,A,11/11/2023,2,Model is so popular it is hard to find to buy.
682,A,11/12/2023,2,Model is so popular it is hard to find to buy.
683,A,11/13/2023,2,Model is so popular it is hard to find to buy.
684,A,11/14/2023,2,Model is so popular it is hard to find to buy.
685,A,11/15/2023,2,Model is so popular it is hard to find to buy.
686,A,11/16/2023,3,The fuel tank cover gets stuck closed all of the time.
687,B,11/17/2023,3,Drivers never hear road noise.
688,A,11/18/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
689,B,11/19/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
690,A,11/20/2023,3,The color of this model is ugly.
691,C,11/21/2023,2,Fuel tank cover never opens on its own.
692,B,11/22/2023,1,Meets my needs but is not built with high quality materials
693,A,11/23/2023,1,Accident in jeep didn't end in explosion.
694,B,11/24/2023,2,Accident in jeep didn't end in explosion.
695,B,11/25/2023,1,Fuel tank works for driver needs.
696,A,11/26/2023,1,Gas mileage is average in this model.
697,B,11/27/2023,2,Gas mileage is great in this model.
698,A,11/28/2023,2,Never gets dents.
699,B,11/29/2023,2,Drivers feel very safe in this model.
700,C,11/30/2023,1,Drivers don't complain about safety in this model.
701,B,12/1/2023,3,The color of this model is ugly.
702,A,12/2/2023,1,Gas mileage is average in this model.
703,B,12/3/2023,2,Gas mileage is great in this model.
704,A,12/4/2023,2,Drivers love the color of this model.
705,B,12/5/2023,2,Drivers love the color of this model.
706,A,12/6/2023,2,Drivers love the color of this model.
707,B,12/7/2023,2,Drivers love the color of this model.
708,B,12/8/2023,2,Drivers love the color of this model.
709,B,12/9/2023,3,Easily dentable.
710,B,12/10/2023,3,The road noise is really loud.
711,A,12/11/2023,3,The color scratches easy.
712,B,12/12/2023,3,Easy to find this model to buy.
713,A,12/13/2023,3,The color of this model is ugly.
714,B,12/14/2023,2,Fuel tank accomodates all of my needs.
715,A,12/15/2023,2,Jeep is expensive but worth it for my safety.
716,A,12/16/2023,1,Easy to find this model to buy.
717,A,12/17/2023,1,Drivers hear road noise but not loudly.
718,B,12/18/2023,1,Occassionaly gets dents.
719,B,12/19/2023,3,The fuel tank cover gets stuck closed all of the time.
720,B,12/20/2023,3,Drivers never hear road noise.
721,B,12/21/2023,2,Fuel tank cover never opens on its own.
722,B,12/22/2023,1,Meets my needs but is not built with high quality materials
723,A,12/23/2023,2,Model is so popular it is hard to find to buy.
724,A,12/24/2023,2,Model is so popular it is hard to find to buy.
725,A,12/25/2023,2,Model is so popular it is hard to find to buy.
726,A,12/26/2023,2,Model is so popular it is hard to find to buy.
727,A,12/27/2023,2,Model is so popular it is hard to find to buy.
728,A,12/28/2023,2,Never gets dents.
729,A,12/29/2023,3,Accident in jeep ended in explosion.
730,C,12/30/2023,3,The color of this model is ugly.
